;Method;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;ICP95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;IMS95A;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;IMS95R;CLA80C
;Analyte;Al2O3;CaO;Cr2O3;Fe2O3;K2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;LOI;Sum;Ba;Be;Cs;Ga;Hf;Nb;Rb;Sn;Sr;Ta;Th;U;W;Y;Zr;Ag;Au;As;Bi;Cd;Co;Cu;Hg;Mo;Ni;Pb;Sb;Se;Zn;Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb;FeO
;Unit;%;%;%;%;%;%;%;%;%;%;%;%;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%
MA-R-127A - (IBX-422);ROCHA;2,03;43,35;<0.01;0,94;0,74;2,02;0,02;<0.01;0,03;7,28;0,1;39,17;95,7;382;1,3;0,2;2,7;0,53;4,88;20,7;<0.3;492;0,11;2,1;1,36;<0.1;8,25;18,3;0,03;<0.1;<1;<0.02;0,05;2,5;3,6;<0.01;0,28;12,8;2,8;<0.05;<1;8;10,1;0,87;0,47;0,1;0,97;0,17;5,1;0,89;5;1,25;1,1;0,11;0,12;0,6;0,28
MA-R-127B - (IBX-423);ROCHA;18,58;5,28;<0.01;7,07;5,36;1,78;0,1;0,18;0,12;52,96;0,93;7,85;100,21;549;2,4;7,07;23,8;4,73;15,03;173;5,8;18,7;1,04;16,4;2,19;1,4;53,93;200;0,03;<0.1;6;0,21;0,17;14,4;3;0,03;0,16;27,6;13,7;0,14;<1;51;82;7,91;4,55;1,41;8,11;1,43;44,7;0,37;42,8;10,56;8,3;1,16;0,68;4,7;0,14
MA-R-128 - (IBX-424);ROCHA;16,93;2,92;0,01;6,18;4,06;2,2;0,05;1,54;0,16;61,19;0,83;5,71;101,78;400;3,4;8,17;24,2;3,97;24,61;183;6,5;154;1,53;11,5;2,28;3,6;26,01;146;0,03;<0.1;5;0,22;0,06;11,2;23,6;0,03;0,2;29,6;12,3;0,34;<1;81;51,6;3,85;2,02;0,76;4,53;0,84;27,2;0,36;23,6;6,33;4,8;0,61;0,34;2,5;0,21
MA-R-129 - (IBX-425);ROCHA;3,15;42,4;<0.01;1,52;0,55;0,44;0,03;0,03;0,09;9,55;0,15;38,03;95,94;69;0,6;1,06;4,3;0,84;3,03;24,2;0,8;2418;0,14;2,8;0,87;<0.1;8,61;33;0,06;<0.1;2;<0.02;0,02;3,2;5,7;<0.01;0,19;16,4;4,3;0,16;<1;15;12,5;1;0,44;0,22;1,47;0,25;7,8;0,07;6,9;1,62;1,2;0,19;0,1;0,6;0,22
MA-R-130 - (IBX-426);ROCHA;4,13;0,5;<0.01;67,58;1,13;0,53;0,15;0,31;0,36;23,31;0,44;1,69;100,13;319;1,6;1,05;7,4;2,23;6,32;47,3;<0.3;63,8;0,3;7,5;0,95;<0.1;31,58;105;0,03;<0.1;<1;0,09;0,06;4,7;16,2;<0.01;1,3;11,2;10,1;0,09;<1;7;53,2;3,71;2,68;0,74;4,21;0,92;28;0,68;26;6,32;4,3;0,57;0,44;3,1;1,42
MA-R-131A - (IBX-427);ROCHA;0,36;0,21;<0.01;0,57;0,02;0,06;0,01;0,09;0,02;>90;<0.01;0,2;101,5;<5;0,4;0,42;1;0,47;1,46;20,1;2,9;6;1,8;1,5;0,8;1,8;1,65;1,1;0,1;<0.1;<1;<0.02;0,01;0,8;3,7;<0.01;0,48;4,1;1,5;0,09;<1;1;3,2;0,55;0,3;0,66;0,92;0,47;2,7;0,63;1,7;1,38;1,1;0,55;0,46;0,4;0,43
MA-R-131B - (IBX-428);ROCHA;20,86;0,16;<0.01;5,6;5,41;2,14;0,02;0,56;0,04;61,24;0,86;4,33;101,22;820;3,3;5,6;27;4,86;21,41;238;6;25,5;2,08;21,5;2,63;0,4;48,29;176;0,2;<0.1;<1;0,08;0,02;7,5;33,7;<0.01;0,12;23,2;10,6;0,08;<1;66;85,3;7,76;4,32;1,5;9,33;1,62;80,9;0,67;63,6;18,26;10,5;1,33;0,69;4,3;0,56
MA-R-132A - (IBX-429);ROCHA;1,65;50,23;<0.01;0,58;0,15;0,18;<0.01;0,18;>25;3,88;0,07;1,33;96,15;94;1,9;0,08;3,1;0,9;2,91;12;3,4;787;0,84;3,7;10,68;<0.1;22,8;23,6;0,3;<0.1;8;<0.02;0,12;1,2;6,4;0,11;0,17;12;4,9;0,29;<1;27;23,9;2,03;1,46;0,28;1,79;0,45;10,8;0,75;7,9;2,25;1,8;0,3;0,29;1,8;0,21
MA-R-132B - (IBX-430);ROCHA;5,56;39,35;<0.01;2,06;0,57;0,37;0,03;0,15;>25;15,41;0,27;2,96;96,77;183;4,8;1,6;7,5;2,01;5,92;29,4;<0.3;503;0,69;6,7;10,8;<0.1;66,98;76,3;0,16;<0.1;8;0,02;0,24;5,2;17,7;0,08;0,36;18,4;8,1;0,58;<1;54;30,9;5,1;4,2;0,53;3,93;1,26;15,8;0,85;14,6;3,71;2,9;0,64;0,68;4,7;0,5
MA-R-132C - (IBX-431);ROCHA;0,4;0,45;<0.01;0,67;<0.01;0,05;0,02;0,1;0,29;>90;0,01;0,19;103,87;13;0,2;<0.05;0,5;0,06;0,36;1,5;<0.3;11,2;0,13;0,6;0,29;<0.1;1;2;0,19;<0.1;<1;<0.02;0,04;1,2;2,9;0,01;0,42;3,3;1,4;0,09;<1;2;4,2;<0.05;<0.05;<0.05;0,26;<0.05;2;0,21;1,3;0,33;0,3;0,05;<0.05;<0.1;0,5
