;;MDL;0;0;0;0;0;0;0;0;0;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5
Sample;;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MR-S-6739;GIJ925;SEDIMENTO CORRENTE;1515;1210;95;1105;N.A.;N.A.;N.A.;N.A.;N.A.;0,1;8,27;17;217;2,5;0,49;0,34;0,45;107,08;16,4;51;12;28,5;4,67;25,7;5,15;0,08;0,76;56,3;78;0,52;0,32;0,05;0,82;0,18;16,8;30,5;443;29,4;148;<0.1;0,02;1,05;22;<2;4,7;52,7;1,33;1,12;0,11;19,5;0,46;0,92;3,4;95;2,3;29,8;3,4;36;147
MR-S-6741;GIJ926;SEDIMENTO CORRENTE;2030;1580;180;1395;N.A.;N.A.;N.A.;N.A.;N.A.;0,09;2,04;2;70;0,6;0,13;4,94;0,04;41,88;2,8;17;<5;7,9;1,63;5,7;1,88;<0.02;0,28;21,6;17;0,2;0,23;0,01;0,23;0,04;5,4;8,3;205;10,4;40,6;<0.1;0,02;0,25;4;<2;2,3;45,7;0,2;0,38;<0.05;6,2;0,15;0,21;0,8;24;0,5;11,8;1,4;19;52,8
MR-S-6742;GIJ927;SEDIMENTO CORRENTE;2230;1715;270;1425;N.A.;N.A.;N.A.;N.A.;N.A.;0,09;4,98;12;161;1,4;0,3;0,84;0,03;99,53;13;41;8;21,3;3,36;15,6;4,04;0,05;0,66;39,7;46;0,4;0,33;0,07;0,87;0,09;15,3;20,9;317;25;99,8;<0.1;0,02;0,73;13,4;<2;4,3;19,6;0,89;0,83;0,06;14,7;0,4;0,66;1,9;71;1,8;24,1;2,7;34;121
MR-S-6743;GIJ928;SEDIMENTO CORRENTE;1685;1615;145;1455;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;1,41;3;133;0,6;0,12;1,23;<0.02;37,16;7,7;14;<5;7,4;1,66;4,2;1,08;<0.02;0,24;16;11;0,12;0,18;0,07;0,22;0,07;3,4;8,9;135;14,7;30,8;<0.1;<0.01;0,41;2,7;<2;1,3;79,5;0,14;0,29;<0.05;3,9;0,11;0,15;0,8;24;0,5;7,5;0,8;17;32,7
MR-S-6744;GIJ929;SEDIMENTO CORRENTE;2275;1870;215;1635;N.A.;N.A.;N.A.;N.A.;N.A.;0,07;1,58;2;99;0,5;0,11;1,7;0,03;36,42;5,9;14;<5;8;1,54;4,4;1,39;<0.02;0,35;17,9;11;0,13;0,22;0,05;0,21;0,13;3,9;8,6;214;14;35,7;<0.1;0,01;0,37;2,7;<2;2;42,5;0,15;0,3;<0.05;4,6;0,13;0,17;0,8;23;0,6;8,1;0,9;25;41,5
MR-S-6745;GIJ930;SEDIMENTO CORRENTE;1725;1680;85;1585;N.A.;N.A.;N.A.;N.A.;N.A.;0,07;1,87;3;147;0,7;0,15;1,04;0,03;41,24;7,6;17;<5;10,8;1,8;5,3;1,55;<0.02;0,42;20,5;13;0,14;0,28;0,06;0,66;0,19;4,5;10,4;185;13,7;41,9;<0.1;0,02;0,34;3,3;<2;1,7;137;0,24;0,34;<0.05;5,2;0,14;0,18;0,9;23;0,6;8,6;1,1;23;47,4
MR-S-6746;GIJ931;SEDIMENTO CORRENTE;1445;1275;160;1110;N.A.;N.A.;N.A.;N.A.;N.A.;0,1;3,56;4;182;1;0,21;6,18;0,08;51,46;9;23;<5;15,4;2,31;9,6;2,35;<0.02;1,04;26,7;25;0,23;0,53;0,06;0,41;0,19;6,2;18,5;458;17;85;<0.1;0,04;0,49;8,2;<2;2,3;255;0,41;0,5;<0.05;7,2;0,17;0,39;1,4;37;0,9;13,8;1,6;36;66,8
MR-S-6747;GIJ932;SEDIMENTO CORRENTE;1220;1030;220;780;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;2,19;3;89;0,7;0,15;0,2;0,02;42,8;6,5;17;<5;14,3;1,95;6,1;2,46;<0.02;0,29;20,7;15;0,19;0,15;0,05;0,9;0,26;7,7;9,1;269;14,3;43,3;<0.1;0,02;0,45;5,2;<2;1,9;27,2;0,44;0,4;0,05;6,9;0,23;0,23;1,2;28;1;10,9;1,3;23;75,2
MR-S-6748;GIJ933;SEDIMENTO CORRENTE;2055;2000;235;1760;N.A.;N.A.;N.A.;N.A.;N.A.;0,03;1,75;3;93;0,5;0,13;0,5;<0.02;23,93;4,4;15;<5;6,3;1,71;4,7;2,03;<0.02;0,53;10,9;12;0,13;0,21;0,03;0,18;0,29;6,4;7,6;79;10,5;40,3;<0.1;<0.01;0,4;2,8;<2;1,6;32,1;0,27;0,2;<0.05;4,7;0,17;0,18;0,9;23;0,8;6,2;0,8;19;60,9
MR-S-6749;GIJ934;SEDIMENTO CORRENTE;1895;1855;185;1655;N.A.;N.A.;N.A.;N.A.;N.A.;0,03;1,41;3;71;0,6;0,1;0,21;<0.02;20,6;4,4;14;<5;9,3;1,79;4,1;1,55;<0.02;0,35;9,4;9;0,11;0,15;0,03;0,85;0,26;5,3;7,5;76;9,8;30;<0.1;<0.01;0,39;2,7;<2;1,7;20,4;0,11;0,19;<0.05;3,8;0,15;0,13;0,8;18;0,7;5,8;0,8;14;48
MR-S-6751;GIJ935;SEDIMENTO CORRENTE;2035;1625;155;1455;N.A.;N.A.;N.A.;N.A.;N.A.;0,09;2,31;2;70;0,7;0,13;7,86;0,04;32,92;4,7;18;<5;8,9;1,76;6,6;1,47;<0.02;0,42;17,1;20;0,15;0,35;0,02;0,24;0,08;5,1;11,8;634;13;45,9;<0.1;0,02;0,29;5,1;<2;2;122;0,33;0,33;0,05;4,8;0,12;0,24;1;25;0,7;9,7;1;26;45,6
MR-S-6752;GIJ936;SEDIMENTO CORRENTE;2160;1720;90;1615;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;2,94;4;121;0,8;0,16;3,44;0,05;39,69;7,3;23;<5;13,9;2,5;7,9;2;<0.02;0,73;20,1;21;0,19;0,4;0,06;0,71;0,28;6,1;14,1;864;16,2;59,9;<0.1;0,02;0,47;5,7;<2;2,2;48;0,35;0,4;<0.05;5,6;0,18;0,31;1,1;34;0,9;11,5;1,2;31;64,6
MR-S-6753;GIJ937;SEDIMENTO CORRENTE;1020;785;165;605;N.A.;N.A.;N.A.;N.A.;N.A.;0,08;3,22;6;120;1,2;0,23;0,48;0,08;55,28;12,3;19;8;17,5;2,42;9,5;2,08;<0.02;0,13;31,7;26;0,24;0,19;0,15;0,49;0,06;8,7;13,9;658;23,5;45,1;<0.1;0,02;0,83;8,2;<2;2,1;15,9;0,55;0,6;0,05;8,1;0,26;0,36;1,1;36;1,4;18,7;1,6;33;66
MR-S-6754;GIJ938;SEDIMENTO CORRENTE;945;825;140;670;140;135;96,43;1;0,74;0,05;1,14;<1;55;0,4;0,07;>15;0,05;17,05;3,6;10;<5;10,1;1;3,3;0,69;<0.02;0,28;8,7;9;0,07;0,52;0,04;0,55;0,05;1,9;45,1;787;7,6;33,9;<0.1;0,06;0,17;2,7;<2;1,5;239;0,08;0,16;<0.05;2,5;0,05;0,16;0,5;12;9,4;4,5;0,5;17;21,1
