;;MDL;0;0;0;0;0;0;0;0;0;0,02;0,01;1;5;0,1;0,04;0,01;0,02;0,05;0,1;1;5;0,5;0,01;0,1;0,02;0,02;0,01;0,1;1;0,01;0,01;0,01;0,05;0,01;0,1;0,5;50;0,5;0,2;0,1;0,01;0,05;0,5;2;0,3;0,5;0,05;0,05;0,05;0,2;0,01;0,02;0,1;1;0,1;0,1;0,1;1;0,5
MR-S-6693;GIJ883;SEDIMENTO CORRENTE;1790;1765;120;1630;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;2,71;3;127;1;0,13;0,88;<0.02;34,63;6,4;20;<5;9,5;2;6,3;2,09;<0.02;0,73;17;17;0,15;0,32;0,05;0,47;0,5;6,8;11,6;275;12,8;64,2;<0.1;0,01;0,42;4,6;<2;1,8;82,7;0,3;0,33;<0.05;5,7;0,2;0,22;1;31;0,3;9,9;1,1;29;70,1
MR-S-6694;GIJ884;SEDIMENTO CORRENTE;2250;2220;95;2110;N.A.;N.A.;N.A.;N.A.;N.A.;0,1;2,39;5;488;1;0,13;0,63;0,04;41,16;12,8;22;<5;23,2;2,35;6,8;1,86;0,03;0,47;19,1;17;0,16;0,26;0,11;1,64;0,31;5,7;14,6;279;18,7;57,4;<0.1;0,02;0,74;5,4;<2;1,8;51,2;0,48;0,37;<0.05;5,3;0,17;0,23;0,9;31;0,7;10,7;1,2;32;60,6
MR-S-6695;GIJ885;SEDIMENTO CORRENTE;1570;1495;80;1405;N.A.;N.A.;N.A.;N.A.;N.A.;0,1;3,19;5;79;1,3;0,17;0,49;<0.02;35,22;7,1;27;<5;17;2,54;8,8;1,84;<0.02;0,15;17,6;22;0,16;0,17;0,07;0,53;0,07;6,6;11,2;304;18,2;55,7;<0.1;0,02;0,68;8;<2;1,9;67,4;0,43;0,38;<0.05;6,9;0,21;0,3;0,9;42;0,8;10,6;1,1;32;58,9
MR-S-6696;GIJ886;SEDIMENTO CORRENTE;1595;1540;135;1400;N.A.;N.A.;N.A.;N.A.;N.A.;0,05;2,95;7;137;1,3;0,17;2,18;<0.02;48,91;10,8;25;<5;13,5;2,58;8;1,63;<0.02;0,28;20,7;22;0,18;0,22;0,09;0,48;0,05;5,6;15,6;<50;18,3;56,9;<0.1;<0.01;0,52;5,9;<2;2,1;110;0,18;0,43;0,06;6,2;0,18;0,27;0,8;45;0,7;12,7;1,3;23;53,6
MR-S-6697;GIJ887;SEDIMENTO CORRENTE;1365;1290;140;1140;N.A.;N.A.;N.A.;N.A.;N.A.;0,06;2,53;3;87;1,2;0,15;1,25;0,06;31,64;3,8;20;<5;11,3;1,79;6,7;1,3;<0.02;0,36;15,5;19;0,15;0,57;0,02;0,23;0,04;4,3;11,1;664;15;60,7;<0.1;0,04;0,48;4,8;<2;1,5;42,1;0,31;0,35;0,08;5;0,13;0,28;1;30;0,6;10,6;0,9;33;40,3
MR-S-6698;GIJ888;SEDIMENTO CORRENTE;1855;1825;50;1765;N.A.;N.A.;N.A.;N.A.;N.A.;0,05;2,78;8;212;1,5;0,17;0,36;<0.02;72,67;14,9;24;<5;12,7;2,96;7,9;2,17;<0.02;0,38;28,1;20;0,24;0,23;0,14;0,47;0,25;7,5;12,4;230;27,6;72;<0.1;0,01;0,64;7,3;<2;1,9;52,5;0,51;0,57;<0.05;8,2;0,22;0,29;2,1;49;0,9;16,5;1,6;25;72,1
MR-S-6699;GIJ889;SEDIMENTO CORRENTE;1305;1235;150;1065;N.A.;N.A.;N.A.;N.A.;N.A.;0,07;3,89;7;99;1,7;0,21;0,45;0,04;33,82;8,2;36;5;18,3;2,46;12,3;2,66;0,04;0,41;24,8;29;0,24;0,22;0,04;0,49;0,12;8,8;16,5;162;15,1;85,2;<0.1;0,01;0,64;10,4;<2;2,5;51,5;0,71;0,53;0,08;7,9;0,26;0,42;1,3;56;1,1;16,6;1,6;36;88,1
MR-S-6701;GIJ890;SEDIMENTO CORRENTE;905;810;135;655;N.A.;N.A.;N.A.;N.A.;N.A.;0,08;3,66;9;103;1,4;0,14;0,9;0,1;44,53;10,2;19;6;15,8;2,64;8,9;1,82;<0.02;0,14;23,9;42;0,19;0,28;0,08;0,41;0,09;7,3;11,7;615;18,1;47;<0.1;0,04;0,85;9;<2;1,7;13,6;0,49;0,47;0,05;6,9;0,24;0,31;0,9;53;1;15,3;1,3;29;71,5
MR-S-6702;GIJ891;SEDIMENTO CORRENTE;1460;1435;220;1195;N.A.;N.A.;N.A.;N.A.;N.A.;0,08;2,2;6;39;1,1;0,11;0,18;<0.02;26,63;6,1;13;<5;10,4;2;5,9;1,25;0,02;0,05;13,7;21;0,1;0,14;0,06;0,83;0,04;5,3;8,7;221;15,8;16,2;<0.1;0,01;0,46;5,2;<2;1,4;7,8;0,35;0,25;0,05;5;0,16;0,13;0,7;22;0,7;8,6;0,7;13;44,5
MR-S-6703;GIJ892;SEDIMENTO CORRENTE;1620;1560;160;1395;N.A.;N.A.;N.A.;N.A.;N.A.;0,08;3,24;4;453;1,1;0,16;1,23;0,12;63,24;8,3;26;<5;21,7;3,58;7,9;2,56;<0.02;1,16;33,2;15;0,23;0,41;0,06;0,9;0,43;9,5;16,6;323;14,3;90,7;<0.1;0,03;0,51;7,2;<2;1,4;35,2;0,52;0,5;0,14;8,9;0,26;0,36;1;44;0,8;13,3;1,5;32;86,4
MR-S-6704;GIJ893;SEDIMENTO CORRENTE;1935;1780;95;1680;N.A.;N.A.;N.A.;N.A.;N.A.;0,09;2,03;3;288;0,5;0,09;2,36;0,08;41,56;5,2;16;<5;13,3;2,81;4,9;1,81;<0.02;0,75;22,4;9;0,15;0,31;0,05;0,52;0,39;6,8;10,4;183;11,3;55;<0.1;0,02;0,41;3,4;<2;1;31,4;0,62;0,34;<0.05;6,1;0,18;0,19;0,8;24;0,7;9;1,1;24;57,5
MR-S-6705;GIJ894;SEDIMENTO CORRENTE;1465;1425;165;1250;N.A.;N.A.;N.A.;N.A.;N.A.;0,1;4,96;8;212;2,1;0,26;0,74;0,08;63,61;13,2;36;6;23,6;3,36;13,9;3,01;<0.02;0,69;34,7;35;0,29;0,45;0,11;0,44;0,09;10,1;21,7;420;21,3;115;<0.1;0,02;0,79;12;<2;2,7;32,3;0,66;0,65;<0.05;10,6;0,32;0,53;1,3;70;1,2;18,6;2;43;100
MR-S-6706;GIJ895;SEDIMENTO CORRENTE;2535;2060;230;1830;230;215;93,48;1;0,47;0,06;1,41;3;129;0,6;0,08;8,25;0,03;35,62;6,7;21;<5;13;2,25;4,2;1,23;0,02;0,34;17,3;10;0,12;0,38;0,06;0,81;0,03;3,9;15,5;341;12;38,3;<0.1;0,02;0,34;3;<2;1,3;51,2;<0.05;0,3;<0.05;4,2;0,14;0,17;0,6;27;0,4;9;1;18;39,2
BRANCO_PREP;;SEDIMENTO CORRENTE;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;<0.02;0,11;<1;12;0,3;<0.04;0,02;<0.02;0,42;0,1;3;<5;1,7;0,02;0,3;<0.02;<0.02;0,05;0,2;10;<0.01;<0.01;<0.01;0,15;0,04;0,2;<0.5;<50;3,8;5,2;<0.1;<0.01;<0.05;<0.5;<2;0,7;1;<0.05;<0.05;<0.05;<0.2;<0.01;0,02;<0.1;<1;<0.1;<0.1;<0.1;3;14,3
MR-S-6707;GIJ896;SEDIMENTO CORRENTE;1865;1195;140;1050;N.A.;N.A.;N.A.;N.A.;N.A.;0,16;5,11;6;308;2,2;0,27;1,87;0,24;74,65;13,1;36;6;35,1;3,62;13,9;3,1;0,04;0,69;41,9;37;0,35;0,71;0,19;0,53;0,1;11,4;26,5;818;20,4;119;<0.1;0,04;0,74;13,3;<2;2,6;38,3;0,76;0,8;<0.05;12;0,33;0,57;1,5;64;1,3;22,1;2,3;63;105
MR-S-6708;GIJ897;SEDIMENTO CORRENTE;1400;815;140;675;N.A.;N.A.;N.A.;N.A.;N.A.;0,1;4,17;5;243;1,9;0,24;1,19;0,11;66,09;14,1;31;<5;27,2;3,31;11,8;2,91;0,05;0,62;34,7;30;0,29;0,65;0,14;0,63;0,1;10,4;22,4;737;20,3;97,7;<0.1;0,13;0,54;10,2;<2;2,3;50,5;0,53;0,65;<0.05;10,2;0,31;0,51;1,4;53;0,7;18,4;2;48;97,1
MR-S-6709;GIJ898;SEDIMENTO CORRENTE;1600;740;135;600;N.A.;N.A.;N.A.;N.A.;N.A.;0,11;5,22;5;1257;1,7;0,24;5,96;0,3;68,48;13,1;38;<5;28,5;3,51;13,1;2,84;0,04;1,2;37,5;38;0,32;0,8;0,09;1,29;0,38;9,9;31,3;688;15,2;120;<0.1;0,19;0,43;14;<2;2,3;50;0,57;0,68;0,1;10,8;0,28;0,54;1,6;74;1;20,5;2,1;51;102
Pulp Duplicates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MR-S-6708;GIJ897;REP;--;--;--;--;--;--;--;--;--;0,12;4,33;5;246;1,8;0,23;1,21;0,11;67,56;14,2;31;<5;26,7;3,34;12;2,86;0,03;0,62;35,7;30;0,29;0,66;0,14;0,74;0,1;10,3;22,3;753;20,4;105;<0.1;0,13;0,6;10,6;<2;2,5;50,7;0,51;0,64;0,06;10,3;0,3;0,49;1,4;53;0,6;19;2;48;92,7
